job_id,title,seniority,company,industry,location,posted_date,source,is_ghost,ghost_probability,bhas_score,risk_tier,listing_age_days,listing_longevity_ratio,salary_missing,repost_count,role_recycling_score,hiring_velocity,open_close_ratio
237E4AE8,Marketing Manager,Intern,Pulse Technologies,Media,"Austin, TX",10-02-2026,synthetic,0,0.431,56.9,Moderate Risk,0.1071428571428571,0.1071422684490744,0.0,0.25,0.4278972217221722,0.0694736842105263,0.0034086847748391
4C8A5726,Technical Lead,Junior,Helix Networks,Consulting,"New York, NY",15-02-2026,synthetic,0,0.0965,90.4,Low Risk,0.0329670329670329,0.0329668518304844,0.0,0.0,0.1515151515151515,0.0863157894736841,0.0082201572551822
68C7A291,Backend Developer,Director,Neon Digital,Consulting,Remote,25-01-2026,synthetic,0,0.5334,46.7,High Risk,0.1373626373626373,0.137364629864671,0.0,0.25,0.3320885758575857,0.3157894736842104,0.0097971765546819
2451221D,Software Engineer,Mid-level,Cascade Innovations,Technology,"Toronto, CA",17-02-2026,synthetic,0,0.1155,88.5,Low Risk,0.0274725274725274,0.0274778710007087,0.0,0.0833333333333333,0.0867086708670867,0.1578947368421052,0.0102055039313795
F8101539,Financial Analyst,Senior,Vortex Systems,Retail,"Boston, MA",25-02-2026,synthetic,0,0.1946,80.5,Low Risk,0.0054945054945054,0.0054972225427332,0.0,0.0,0.2904290429042904,0.2105263157894736,0.0044969621157969
6B1FEB83,Data Scientist,Intern,Monolith Studio,Retail,"Phoenix, AZ",24-08-2025,synthetic,1,0.9464,5.4,Ghost,0.5137362637362638,0.5137389355003545,0.0,0.3333333333333333,0.8115811581158116,0.3684210526315788,0.102037169406719
BC60339C,HR Generalist,Principal,Horizon Collective,Logistics,"Austin, TX",18-02-2026,synthetic,0,0.1466,85.3,Low Risk,0.0247252747252747,0.0247251388728633,0.0,0.0,0.2781278127812781,0.263157894736842,0.0119433523945675
D460D5D8,ML Engineer,Lead,Prism Networks,Education,"Chicago, IL",01-02-2026,synthetic,0,0.4932,50.7,Moderate Risk,0.0714285714285714,0.0714309262037021,0.0,0.0,0.0417041704170417,0.2799999999999999,0.0314510364546104
A7CB9D88,QA Engineer,Mid-level,Neon Digital,Consulting,"Seattle, WA",27-09-2025,synthetic,1,0.9464,5.4,Ghost,0.4203296703296704,0.4203273608386768,0.0,0.5,0.7805780578057805,1.0,1.0
3461291,Scrum Master,Lead,Vertex Partners,Logistics,"London, UK",25-02-2026,synthetic,0,0.1759,82.4,Low Risk,0.0054945054945054,0.0054972225427332,0.0,0.0833333333333333,0.0615061506150615,0.1389473684210526,0.0045407433881343
F8F09E7C,Sales Executive,Lead,Helix Works,Consulting,"Austin, TX",21-10-2025,synthetic,1,0.9464,5.4,Ghost,0.3543956043956044,0.3543936571777079,0.0,0.6666666666666666,0.6923692369236923,0.4547368421052631,0.4996426018584703
325F4E43,Cloud Architect,Principal,Neon Dynamics,Technology,"Los Angeles, CA",15-04-2025,synthetic,1,1.0,0.0,Ghost,0.8736263736263737,0.873621573507838,1.0,0.75,0.9563956395639563,0.8063157894736842,0.1065046461758398
63B3DB59,QA Engineer,Principal,Arch Group,Manufacturing,"San Francisco, CA",21-07-2025,synthetic,1,1.0,0.0,Ghost,0.6071428571428572,0.6071422684490746,1.0,0.75,0.7439743974397439,0.7178947368421053,0.127352573266619
434F8ABD,Frontend Developer,Director,Quantum Solutions,Finance,"London, UK",25-09-2025,synthetic,1,0.9464,5.4,Ghost,0.4258241758241758,0.42582458338141,0.0,1.0,0.736973697369737,0.3494736842105263,0.0975696926375982
D54C7148,Platform Engineer,Senior,Helix Global,Finance,"Berlin, DE",05-10-2025,synthetic,1,0.9753,2.5,Ghost,0.3983516483516484,0.3983549540936588,1.0,0.3333333333333333,0.7123712371237123,0.2273684210526315,0.0662973552537526
7052C622,HR Generalist,Principal,Monolith Solutions,Consulting,"Toronto, CA",23-11-2025,synthetic,1,0.9768,2.3,Ghost,0.2637362637362637,0.2637348146438756,1.0,0.6666666666666666,0.7166716671667166,0.263157894736842,0.0499169049320943
F80EABB1,Product Manager,Senior,Prism Dynamics,Technology,"Seattle, WA",27-02-2026,synthetic,0,0.5677,43.2,High Risk,0.0,0.0,1.0,0.0,0.0559055905590559,0.2968421052631579,0.0106031093638313
