job_id,title,seniority,company,industry,company_size,location,posted_date,listing_age_days,salary,salary_missing,repost_count,repost_interval_days,company_open_roles,company_closed_roles,closure_ratio,hiring_velocity,role_recycling_score,engagement_latency,status,listing_longevity_ratio,open_close_ratio,is_ghost,source,raw_description_snippet,avg_listing_age
7FA1771F,Data Scientist / Senior Data Scientist,Senior,RHC India,IT Jobs,unknown,"Ahmedabad, Gujarat",2026-02-22,7,,1,0,0,1,0,0.0,0.08,0.0,0,open,0.2333,0.2333,-1,adzuna_api,"Job Title: Data Scientist / Senior Data Scientist Job Location: Ahmedabad (Onsite) Shift Time: 2:00 PM – 11:00 PM (5 days/week) Experience Required: 3–5 Years About the Role We are currently looking for a Data Scientist/Senior Data Scientist to maintain, enhance, and further develop our Data Science",7.0
4E0DE9F3,Data Scientist,Mid-level,Entiovi Technologies,IT Jobs,unknown,"Kolkata, West Bengal",2026-02-21,8,,1,0,0,1,0,0.0,0.08,0.0,0,open,0.2667,0.2667,-1,adzuna_api,Company Description We at Entiovi Technologies provide digital transformation using new-age intelligent technologies for more than 9 years. We are looking for an experienced professional to join our team: Responsibilities 3-7 years of experience as a Data Scientist. Work closely with clients to unde,8.0
E819C670,Data Scientist,Mid-level,ADM,IT Jobs,unknown,"Bangalore, Karnataka",2026-01-17,43,,1,29,0,35,0,0.0,2.92,1.0,0,open,1.4333,1.4333,-1,adzuna_api,"Data Scientist Bengaluru, India Position Summary: The Data Scientist will lead the development of data-driven solutions by leveraging traditional data science techniques and recent advancements in Generative AI to bring value to ADM. The role is integral to the Digital & Innovation team, driving rap",8.085714285714285
AF646CF1,Data Scientist,Mid-level,ADM,IT Jobs,unknown,"Vadodara, Gujarat",2026-02-27,2,,1,29,0,35,0,0.0,2.92,1.0,0,open,0.0667,0.0667,-1,adzuna_api,"Data Scientist Bengaluru, India Position Summary: The Data Scientist will lead the development of data-driven solutions by leveraging traditional data science techniques and recent advancements in Generative AI to bring value to ADM. The role is integral to the Digital & Innovation team, driving rap",8.085714285714285
CAAC01AC,Data Scientist,Mid-level,ADM,IT Jobs,unknown,India,2026-02-27,2,,1,29,0,35,0,0.0,2.92,1.0,0,open,0.0667,0.0667,-1,adzuna_api,"Data Scientist Bengaluru, India Position Summary: The Data Scientist will lead the development of data-driven solutions by leveraging traditional data science techniques and recent advancements in Generative AI to bring value to ADM. The role is integral to the Digital & Innovation team, driving rap",8.085714285714285
605E6D40,Data Scientist,Mid-level,ADM,IT Jobs,unknown,"Delhi, India",2026-02-27,2,,1,29,0,35,0,0.0,2.92,1.0,0,open,0.0667,0.0667,-1,adzuna_api,"Data Scientist Bengaluru, India Position Summary: The Data Scientist will lead the development of data-driven solutions by leveraging traditional data science techniques and recent advancements in Generative AI to bring value to ADM. The role is integral to the Digital & Innovation team, driving rap",8.085714285714285
5438E1AC,Data Scientist,Mid-level,ADM,IT Jobs,unknown,"Surat, Gujarat",2026-02-27,2,,1,29,0,35,0,0.0,2.92,1.0,0,open,0.0667,0.0667,-1,adzuna_api,"Data Scientist Bengaluru, India Position Summary: The Data Scientist will lead the development of data-driven solutions by leveraging traditional data science techniques and recent advancements in Generative AI to bring value to ADM. The role is integral to the Digital & Innovation team, driving rap",8.085714285714285
0C8F2C3F,Data Scientist,Mid-level,ADM,IT Jobs,unknown,"Coimbatore, Tamil Nadu",2026-02-27,2,,1,29,0,35,0,0.0,2.92,1.0,0,open,0.0667,0.0667,-1,adzuna_api,"Data Scientist Bengaluru, India Position Summary: The Data Scientist will lead the development of data-driven solutions by leveraging traditional data science techniques and recent advancements in Generative AI to bring value to ADM. The role is integral to the Digital & Innovation team, driving rap",8.085714285714285
6CEEAA61,Data Scientist,Mid-level,ADM,IT Jobs,unknown,"Hyderabad, Telangana",2026-02-27,2,,1,29,0,35,0,0.0,2.92,1.0,0,open,0.0667,0.0667,-1,adzuna_api,"Data Scientist Bengaluru, India Position Summary: The Data Scientist will lead the development of data-driven solutions by leveraging traditional data science techniques and recent advancements in Generative AI to bring value to ADM. The role is integral to the Digital & Innovation team, driving rap",8.085714285714285
E23102F3,Data Scientist,Mid-level,ADM,IT Jobs,unknown,"Bhopal, Madhya Pradesh",2026-02-27,2,,1,29,0,35,0,0.0,2.92,1.0,0,open,0.0667,0.0667,-1,adzuna_api,"Data Scientist Bengaluru, India Position Summary: The Data Scientist will lead the development of data-driven solutions by leveraging traditional data science techniques and recent advancements in Generative AI to bring value to ADM. The role is integral to the Digital & Innovation team, driving rap",8.085714285714285
